Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Burundi,35682.444444444445,35127.444444444445,35241.666666666664,34682.11111111111,33706.333333333336,33588.11111111111,33686.0,34474.22222222222,33390.11111111111,34087.77777777778,33884.22222222222,34489.11111111111,35111.88888888889,33630.666666666664,33630.77777777778,32566.777777777777,34408.555555555555,35413.666666666664,31782.11111111111,29278.0,32151.33333333333,32692.0,30997.222222222223,41166.55555555556,42089.444444444445,44155.333333333336,42170.11111111111
Cabo Verde,91207.0,88061.75,72505.25,78333.0,73986.5,81016.25,96500.0,97816.75,81995.5,85875.0,116873.25,115611.5,114283.0,114478.0,114281.75,112796.5,113195.0,114246.0,113040.75,114148.5,109223.0,105485.75,107513.75,101985.0,76835.0,43994.5,55369.0
Cambodia,28199.0,29040.8,40885.6,31762.2,27698.8,29646.4,28075.4,31156.0,30778.6,48696.8,38185.4,39759.6,31503.4,48758.0,55240.0,60049.8,70185.6,64542.0,66378.2,77496.6,72061.0,73682.4,72919.2,75308.2,80669.6,80075.8,82080.8
Cameroon,44716.9,42818.9,40486.5,39795.2,40353.5,40124.6,41445.2,42985.5,44919.9,50673.9,49800.1,44104.5,35638.0,34384.9,33240.1,44379.0,44941.2,53306.5,53712.2,54656.6,53996.0,55276.0,57254.1,63163.9,66745.8,66236.5,67581.2
Canada,92115.25,52677.25,55016.5,54986.75,58729.5,57684.0,57734.0,56754.75,60699.25,60983.25,57271.75,50910.0,55729.5,60215.25,64597.0,63887.75,67541.25,64483.25,68292.25,66111.0,70839.5,66907.0,68945.75,73225.25,71338.25,71837.5,69880.75
Cayman Islands,27666.666666666668,35347.333333333336,41294.333333333336,37000.0,33813.0,40000.0,41111.333333333336,26666.666666666668,40000.0,33666.666666666664,33111.0,33885.0,33803.666666666664,33660.0,33111.0,32675.666666666668,32372.0,32606.0,32409.0,32310.0,32552.0,32598.0,32497.666666666668,32391.0,32284.666666666668,32178.0,32071.0
Central African Republic,25233.42857142857,26298.285714285717,27363.714285714286,27068.285714285717,25757.714285714286,25687.85714285714,25452.85714285714,26053.42857142857,26259.285714285717,26339.571428571428,26340.285714285717,26451.42857142857,26622.285714285717,27370.42857142857,26331.571428571428,26339.14285714286,25308.14285714286,25503.285714285717,25686.85714285714,25901.571428571428,28145.571428571428,27288.285714285717,29543.571428571428,26970.285714285717,25624.85714285714,25425.571428571428,25527.14285714286
Chad,36633.25,35410.75,36636.5,34021.5,36571.125,33518.625,35705.0,39629.5,38579.625,40916.0,45259.75,50550.125,51462.125,58753.375,54037.71428571428,57856.0,42129.0,44049.125,42354.875,40231.125,44968.375,53370.625,58589.0,48771.125,55816.625,48942.125,44476.75
Chile,75538.8,71570.4,76829.6,73958.0,76768.6,76899.2,75652.6,77679.8,76678.8,79004.8,83895.4,89843.2,96349.0,92337.0,93861.4,95372.6,101658.4,82658.0,91138.4,98285.6,102582.6,128283.8,118017.6,113594.8,108494.0,110046.2,114817.4
China,75552.25,75248.5,78238.5,84842.75,83270.5,84731.25,89038.625,84381.0,90177.75,87789.0,86842.875,87668.875,91660.0,90339.875,93227.75,92615.0,92317.75,91337.375,93250.875,91943.125,94975.125,96884.375,97304.625,98448.375,98713.625,99832.625,99508.375
"China, Hong Kong SAR",49473.5,93333.0,82705.0,86957.0,68824.0,85333.0,67500.0,68333.5,48461.5,55022.0,56337.5,56247.5,58408.0,59163.0,60642.5,61709.0,106250.0,63571.5,64166.5,65000.0,68409.5,69847.5,75000.0,78000.0,74277.0,75522.0,76916.0
"China, Taiwan Province of",85054.375,86027.5,90770.875,95033.75,95163.125,95204.875,102268.5,105278.25,88627.125,106007.5,104162.625,98913.875,110914.625,115686.0,111032.0,108254.25,110352.375,107859.375,109009.5,110058.0,108034.875,114374.875,113184.5,110997.5,114793.25,114101.75,114554.625
"China, mainland",75549.875,75233.625,78214.25,84819.125,83256.25,84713.75,89016.875,84337.625,90208.25,87758.75,86816.75,87651.5,91624.375,90304.0,93202.125,92605.125,92306.625,91333.0,93243.375,91935.875,94965.5,96868.0,97287.875,98438.375,98691.0,99816.375,99495.625
Colombia,55792.22222222222,58639.88888888889,61857.11111111111,64471.66666666666,61156.77777777778,64647.0,63950.77777777778,63003.22222222222,61749.444444444445,63577.55555555556,60790.0,64299.444444444445,66485.0,68343.11111111111,67530.11111111111,67967.55555555556,65977.77777777778,68145.66666666667,69459.22222222222,69465.55555555556,69840.66666666667,68464.88888888889,69534.66666666667,69145.88888888889,72924.0,69428.77777777778,70319.44444444444
Comoros,45451.16666666666,48226.833333333336,49979.333333333336,51474.0,51671.66666666666,50415.833333333336,50029.0,50138.66666666666,50083.833333333336,51156.66666666666,52895.0,52305.333333333336,50913.0,51360.16666666666,51532.0,51531.833333333336,51339.16666666666,51539.16666666666,52199.5,52099.0,52292.16666666666,52495.16666666666,52488.66666666666,52683.16666666666,52753.16666666666,52833.333333333336,52939.16666666666
Congo,50124.0,50639.28571428572,50739.857142857145,50030.28571428572,51832.28571428572,53012.71428571428,52645.0,53254.28571428572,53539.142857142855,54939.42857142857,55125.0,56567.57142857143,54853.28571428572,55751.0,55500.42857142857,53483.28571428572,54759.0,54898.0,55404.42857142857,55286.28571428572,55799.71428571428,56099.57142857143,56164.71428571428,56340.857142857145,56429.71428571428,56581.0,56671.0
Cook Islands,290769.0,282769.0,319886.5,254166.5,227778.0,231535.0,218235.5,193529.5,228179.5,236480.0,244724.5,266666.5,254766.5,262500.0,256327.0,257155.0,258083.5,265000.0,261925.5,263432.0,264875.0,266358.5,269356.0,266758.5,268951.0,272847.5,276691.0
Costa Rica,80438.75,84572.5,98984.0,116956.0,108148.0,96744.42857142857,97841.0,101647.71428571428,97564.57142857143,94140.71428571428,91498.57142857143,95739.85714285714,88492.14285714286,92208.85714285714,91659.57142857143,71830.85714285714,83827.85714285714,88726.14285714286,102533.42857142857,98312.71428571428,98623.14285714286,101485.57142857143,99750.14285714286,97527.85714285714,103033.42857142857,106429.0,105301.85714285714
Cuba,38865.71428571428,40395.42857142857,43939.125,39055.375,32959.5,45064.375,54835.75,43969.625,42471.25,65843.375,104891.375,87203.875,86304.625,81199.875,82340.75,70586.5,69471.375,60644.5,66080.875,62159.125,62274.5,72465.25,72084.0,71900.125,79183.25,82683.625,83134.5
Cyprus,126383.5,109080.5,112006.5,134843.5,102121.0,133250.5,142499.0,69167.0,101975.5,129356.0,98130.0,115584.0,140853.5,125560.0,129016.0,131967.5,155577.0,133739.5,115001.5,125928.5,108414.5,135668.5,103735.0,117134.0,120679.5,116059.5,119771.0
C̫te d'Ivoire,32011.0,31217.375,31629.75,31253.25,31378.75,31517.25,32615.625,34089.625,33862.25,34558.125,34729.5,34757.5,34841.625,34916.25,34616.375,35118.375,34703.375,32906.0,34161.5,30312.375,31784.875,30965.75,31275.75,31425.375,30799.0,30433.125,30164.75
Democratic People's Republic of Korea,57728.28571428572,61727.57142857143,62043.142857142855,60719.28571428572,55513.0,45703.42857142857,45102.57142857143,42908.28571428572,49635.28571428572,45919.0,44754.57142857143,51957.0,48904.857142857145,51613.71428571428,52526.857142857145,52474.142857142855,52529.142857142855,50397.142857142855,49820.42857142857,53574.0,55619.0,55518.57142857143,53806.57142857143,54677.71428571428,54897.57142857143,56204.57142857143,55385.142857142855
Democratic Republic of the Congo,34071.6,34261.5,34627.1,33392.8,33240.9,32401.1,32463.7,33417.9,33123.8,32373.7,31885.5,30697.8,30671.3,30577.0,30609.2,30608.7,30468.5,30609.9,30606.3,30572.3,30520.4,30527.9,30555.5,30579.2,30572.8,30579.1,30542.3
Denmark,224381.5,203442.0,195796.5,228284.0,206663.0,207638.5,218682.0,234105.5,238454.5,232790.5,249830.0,238693.5,234705.5,230979.5,234410.5,233214.0,211303.0,225628.5,247488.5,248117.0,155681.33333333334,168755.0,184406.66666666663,182621.66666666663,193735.0,187847.66666666663,191231.66666666663
Djibouti,16667.0,16358.0,16405.0,16459.0,16521.0,16667.0,16796.0,17020.0,17243.0,17690.0,18333.0,17143.0,16667.0,16667.0,16591.0,15000.0,16667.0,17393.0,17820.0,18185.0,18504.0,18819.0,20000.0,20000.0,19357.0,19079.0,19256.0
Dominica,74610.66666666667,82871.16666666667,83753.66666666667,87173.33333333333,83687.83333333333,83099.83333333333,81833.0,81040.83333333333,79369.0,79571.0,79787.16666666667,80664.5,80933.66666666667,78996.66666666667,80519.33333333333,80304.66666666667,79607.5,78206.0,78160.5,78207.0,76679.83333333333,80270.83333333333,85544.66666666667,83261.5,82046.66666666667,82445.5,83135.16666666667
Dominican Republic,60355.25,66651.625,58186.375,57651.375,55052.5,56015.5,55346.375,51146.5,53873.0,59662.75,63892.875,69079.125,65480.0,69233.875,67176.5,73365.625,78962.75,77452.75,75069.625,80579.25,83496.75,89661.75,90032.0,93820.125,97471.875,94577.625,96546.125
Ecuador,44681.22222222222,35596.666666666664,36058.22222222222,35978.555555555555,40010.77777777778,33353.22222222222,36187.333333333336,36835.22222222222,36424.66666666666,41055.11111111111,26697.444444444445,37417.77777777778,28860.11111111111,31481.777777777777,33443.444444444445,34146.555555555555,30447.11111111111,32884.0,31334.33333333333,29106.222222222223,32665.0,31037.0,35455.666666666664,29790.666666666668,43321.22222222222,41978.22222222222,43894.444444444445
Egypt,102664.0,104651.28571428572,102715.71428571428,105750.71428571428,102135.14285714286,105335.85714285714,101692.14285714286,104476.71428571428,109171.42857142857,112134.28571428572,117941.28571428572,116768.42857142857,120128.85714285714,122763.0,122237.57142857143,108907.71428571428,100888.71428571428,126620.28571428572,123872.42857142857,124878.28571428572,123780.0,129388.42857142857,131439.7142857143,133053.0,133254.57142857142,132334.0,130464.71428571428
El Salvador,71495.75,69883.125,74374.875,77752.625,74906.25,74511.125,69494.375,70210.125,83471.375,80793.125,106213.875,105836.625,108032.5,107338.125,111858.875,107372.0,107872.125,107670.5,108410.75,110758.125,99471.75,78783.625,92828.5,114991.0,95874.125,94468.625,101764.25
Equatorial Guinea,31034.5,33880.333333333336,33731.333333333336,33866.666666666664,34027.666666666664,34175.666666666664,33834.333333333336,34632.0,35150.666666666664,35546.666666666664,36054.333333333336,36520.0,37051.0,37577.0,38150.333333333336,39080.66666666666,40078.0,40595.0,41282.333333333336,42007.333333333336,42750.333333333336,43839.333333333336,44440.66666666666,44181.0,44406.333333333336,45768.0,46255.0
Eswatini,30126.83333333333,22415.5,22398.666666666668,20335.5,20807.33333333333,22276.5,20484.666666666668,21717.5,25066.5,18184.33333333333,18352.0,18713.666666666668,18264.666666666668,18416.0,18691.33333333333,18679.666666666668,18704.83333333333,17067.0,17876.0,18167.166666666668,17884.0,18207.83333333333,18721.33333333333,18942.33333333333,18006.333333333332,18024.666666666668,18175.0
Faroe Islands,136792.0,137781.0,137952.0,138122.0,138292.0,138461.0,138629.0,138795.0,138960.0,139122.0,139283.0,139440.0,139596.0,139748.0,139897.0,140042.0,140184.0,140000.0,140686.0,141060.0,141458.0,141896.0,142857.0,145455.0,143554.0,142771.0,142493.0
Fiji,48358.0,49161.142857142855,49188.0,37935.857142857145,47041.71428571428,60755.71428571428,66742.42857142857,49952.142857142855,78281.85714285714,74612.71428571429,68574.42857142857,58026.857142857145,63327.857142857145,59019.57142857143,52478.42857142857,52748.0,53070.0,39712.142857142855,37279.857142857145,40415.57142857143,42467.71428571428,41145.42857142857,38232.57142857143,38290.142857142855,40903.57142857143,38888.57142857143,36614.42857142857
Finland,124911.5,111027.0,108523.0,124864.0,118374.0,129369.5,130428.0,132163.5,104510.0,133256.0,139929.0,139039.0,147182.0,125308.0,130812.0,147147.0,120591.0,148162.5,148814.5,163562.5,147923.5,157206.0,137775.0,159763.5,156780.0,141999.0,154543.0
France,89576.66666666667,98947.5,105853.0,106800.0,101112.33333333331,103325.83333333331,109801.16666666669,117998.66666666669,112278.5,118146.16666666669,117406.0,110707.66666666669,122875.0,108289.83333333331,125923.83333333331,118049.83333333331,115366.16666666669,123618.33333333331,124369.0,122951.83333333331,118884.83333333331,130930.83333333331,119321.33333333331,117525.16666666669,132808.5,119352.83333333331,107977.33333333331
French Guiana,58077.333333333336,51555.0,49737.75,66209.0,53975.25,42534.5,43010.25,39412.25,41249.75,40833.25,40255.75,44297.5,41236.25,44474.0,42002.5,39788.0,38420.75,40057.0,45734.0,49548.5,58372.25,71000.0,71000.0,71000.0,69785.0,68293.5,67399.0
French Polynesia,129068.0,129700.5,130089.0,130288.5,129891.0,127837.5,134061.0,132096.0,132446.5,133209.0,132903.5,132984.0,134737.0,133701.0,133430.0,134570.0,134530.5,136889.0,136719.5,137564.0,137525.5,137780.0,139649.0,137599.0,138418.0,138894.5,138983.0
Gabon,31815.285714285717,35174.142857142855,34334.57142857143,33916.0,34129.42857142857,34105.857142857145,34015.42857142857,33186.71428571428,34079.71428571428,34199.857142857145,34543.0,34573.0,34351.857142857145,34651.42857142857,34814.857142857145,34813.57142857143,35017.0,35819.71428571428,34806.857142857145,34543.71428571428,34337.857142857145,34147.42857142857,33511.0,33675.71428571428,33860.42857142857,34348.142857142855,34363.142857142855
Gambia,16060.0,16249.25,17593.5,17629.25,16833.5,15657.0,15685.25,15193.75,16239.25,19522.0,20222.75,20677.0,17197.25,18708.75,18497.25,16159.25,17520.75,13453.25,16020.5,16811.75,17916.25,16164.75,16286.5,17345.5,15209.25,16014.75,16339.25
Germany,102013.0,114631.25,116021.75,139651.75,122001.0,119298.0,140325.0,140883.5,139221.5,141065.0,154595.5,148636.25,142343.5,161335.66666666666,204812.66666666663,195529.3333333333,131998.5,149389.0,156644.5,157159.0,145284.75,162236.75,161421.0,146628.25,171822.0,157179.0,161116.0
Ghana,42370.0,55114.66666666666,52076.5,61738.66666666666,58702.833333333336,60611.66666666666,55483.71428571428,54865.57142857143,53541.28571428572,56488.142857142855,55791.71428571428,54425.28571428572,56561.0,55333.857142857145,56293.0,56472.42857142857,58647.28571428572,60559.71428571428,64411.0,67258.71428571429,70398.42857142857,70433.42857142857,71874.14285714286,76021.57142857143,78084.14285714286,77590.14285714286,77826.42857142857
Greece,83442.85714285714,92543.28571428572,98188.0,98108.57142857143,96006.57142857143,87418.14285714286,88568.57142857143,80982.57142857143,80133.14285714286,89273.0,84593.85714285714,90416.42857142857,89659.57142857143,91948.85714285714,88925.57142857143,86446.42857142857,89127.57142857143,93173.57142857143,90516.85714285714,94483.71428571428,94938.57142857143,92582.42857142857,92089.71428571428,100084.57142857143,99641.71428571428,101416.14285714286,101133.0
Grenada,40320.0,39276.8,39079.6,38365.4,38537.0,39859.4,39899.6,40035.4,40232.2,40296.8,40395.6,40397.8,40664.8,40620.6,40715.6,39622.8,40766.4,40863.2,41593.6,40667.6,41721.0,42266.0,42441.6,44255.0,43979.4,43698.4,43966.2
Guadeloupe,109434.75,121503.5,121735.5,120746.75,100373.75,84374.0,107421.25,111699.5,101194.5,110425.25,104986.5,106930.75,109047.0,110350.5,88336.25,116251.0,110612.0,115330.25,133495.0,137933.0,122951.5,124724.75,126631.0,128295.25,129959.75,131624.5,133289.25
Guam,64500.0,76647.5,76404.5,76162.0,75919.0,75676.5,75434.0,75191.0,74948.0,74705.5,76178.5,73481.0,72500.0,72730.0,72766.0,72514.0,72500.0,69688.0,65364.0,61342.5,57318.0,53531.0,50000.0,49264.5,48970.5,46416.5,44121.5
Guatemala,93755.25,94195.875,94641.75,91796.88888888888,92540.44444444444,91473.88888888888,88344.77777777778,87236.0,87266.0,89308.55555555556,90190.44444444444,86471.11111111111,81472.44444444444,74442.66666666667,78673.44444444444,73045.0,66822.88888888889,67704.44444444444,68436.66666666667,70984.22222222222,67009.22222222222,67669.44444444444,68188.77777777778,68474.22222222222,70548.55555555556,73059.55555555556,74865.44444444444
Guinea,45220.28571428572,44977.857142857145,44321.42857142857,45629.0,47086.42857142857,46550.142857142855,45305.28571428572,45116.0,45810.42857142857,44832.0,44712.57142857143,44906.142857142855,46195.57142857143,48465.875,47726.625,48262.375,48853.25,47982.75,45115.375,54453.125,46798.625,47287.75,46238.125,47419.625,44921.0,42852.0,46120.5
Guinea-Bissau,36440.2,35110.6,46509.6,46731.2,46472.0,45529.2,45626.0,44489.0,42973.2,42387.0,42571.6,42761.4,43506.4,42985.6,42658.2,42116.2,39838.2,34122.2,36864.2,34830.6,33951.8,33428.0,32818.8,31617.4,31293.2,30968.2,30482.8
Guyana,46874.25,49459.25,49824.5,47922.0,50158.0,53067.5,49553.5,55072.66666666666,47641.833333333336,52125.66666666666,54178.66666666666,52201.5,52264.66666666666,55466.16666666666,59662.16666666666,62815.333333333336,72026.83333333333,79668.16666666667,86334.0,108680.33333333331,109087.0,91972.5,92548.5,85998.0,78173.83333333333,59509.833333333336,47092.5
Haiti,42723.0,46500.0,47146.0,47338.5,45545.125,45671.25,45844.75,45073.0,44546.375,44144.625,44244.25,45066.125,45084.25,45183.375,45080.625,45244.375,46370.625,45570.875,45103.125,51127.875,48571.0,50510.875,52065.5,58827.125,53887.375,51277.0,51984.5
Honduras,57850.125,59615.25,63663.5,52111.66666666666,53620.333333333336,52959.66666666666,54849.333333333336,53392.11111111111,48925.11111111111,42855.0,47635.11111111111,49621.11111111111,47018.444444444445,50020.0,50308.444444444445,49027.11111111111,51125.0,54335.11111111111,58397.66666666666,55608.88888888889,54686.11111111111,59328.66666666666,56548.333333333336,59991.22222222222,61171.77777777778,62021.88888888889,63026.77777777778
Hungary,55160.0,57274.0,51417.16666666666,43235.66666666666,46653.0,51915.333333333336,60960.833333333336,60603.0,64651.5,64999.0,54990.5,71733.0,65481.333333333336,54862.66666666666,75427.0,78098.83333333333,75151.0,61747.333333333336,82847.83333333333,74657.66666666667,63583.333333333336,78367.0,63093.333333333336,68637.33333333333,83050.0,73117.0,74352.0
Iceland,85000.0,100873.0,112000.0,111250.0,139300.0,91550.0,124589.0,106963.0,122137.0,128757.0,144537.0,142075.0,110000.0,88625.0,160000.0,184000.0,200000.0,182584.0,175562.0,133427.0,175000.0,139961.0,192079.0,120000.0,138333.0,150833.0,165500.0
India,65371.875,67768.0,70143.625,69104.875,72501.75,72875.25,72401.875,73743.25,72120.125,74304.5,80415.125,79292.875,79803.75,77273.5,79914.875,84750.375,86300.5,84678.75,90327.25,90393.5,93529.75,99562.375,102232.625,98805.875,100082.875,82749.875,81946.25
Indonesia,72044.66666666667,70859.33333333333,72871.0,75365.0,73778.33333333333,75820.16666666667,78878.83333333333,76816.5,75255.0,74470.16666666667,72877.66666666667,76507.0,79340.0,82248.83333333333,85534.5,86775.0,88539.5,88414.16666666667,93042.5,95057.33333333331,97188.16666666669,99156.83333333331,105721.5,107728.66666666669,113101.83333333331,115492.33333333331,118452.83333333331
Iran (Islamic Republic of),55220.4,65634.0,62947.6,71594.8,70906.4,70146.6,72840.4,70265.0,70747.2,69530.8,69535.4,66484.8,75888.8,80444.4,79920.0,83027.4,83411.0,87231.0,78726.2,81006.8,89219.0,82979.4,83792.6,86903.6,93268.0,95677.6,94655.2
Iraq,42066.833333333336,34883.0,40847.333333333336,40303.5,40173.0,37268.66666666666,42221.0,37673.5,38292.66666666666,36417.333333333336,28456.33333333333,37183.0,41419.333333333336,42879.5,40988.333333333336,39681.833333333336,43740.66666666666,44820.66666666666,31824.5,34596.166666666664,45292.0,43264.66666666666,42242.333333333336,51736.833333333336,47100.833333333336,66409.16666666667,66810.33333333333
Ireland,167139.0,178591.5,183748.0,165741.0,188596.5,179177.0,195805.5,168275.5,170425.5,203547.0,215713.5,212293.5,210596.5,213390.5,257214.5,215548.5,212250.0,212826.0,198815.0,178580.5,214974.5,220522.5,165006.5,236627.0,251649.0,265162.0,243250.5
